AGENCYNAME,STATE,budget_2013,budget_2016,OPBUDGET_2019,OPBUDGET2020,opbudget_2021_2022
wayne county sheriff's office,MO,NA,NA,1216604,1348836,NA
amite county sheriff's department,MS,NA,NA,489594,503473,NA
claiborne county sheriff's department,MS,NA,NA,1e+06,1e+06,NA
desoto county sheriff's office,MS,NA,NA,2.4e+07,2.5e+07,16447000
harrison county sheriff's office,MS,NA,NA,19923230,20095151,14332000
hinds county sheriff's department,MS,19500000,1.9e+07,20866863,22480843,11496000
jackson county sheriff's department,MS,1.5e+07,NA,NA,NA,12063000
jefferson county sheriff's department,MS,NA,NA,850000,925000,2043000
kemper county sheriff's department,MS,NA,NA,1557996,1557996,1423000
lincoln county sheriff's department,MS,NA,NA,3428000,3457000,4095000
marion county sheriff's department,MS,NA,NA,1620526,1623367,2075000
perry county sheriff's department,MS,860000,NA,841999,1102457,1106000
quitman county sheriff's department,MS,NA,NA,NA,NA,NA
rankin county sheriff's department,MS,NA,NA,19626369,19876188,12156000
sunflower county sheriff's department,MS,NA,NA,850000,850000,2029000
tate county sheriff's department,MS,NA,NA,3750000,3800000,3229000
tippah county sheriff's department,MS,NA,937551,1027900,606250,1317000
tunica county sheriff's department,MS,NA,NA,5810995,4786671,6010000
walthall county sheriff's department,MS,8e+05,NA,1414251,1459371,1661000
webster county sheriff's department,MS,NA,NA,NA,NA,959000
winston county sheriff's department,MS,NA,NA,NA,NA,1776000
blaine county sheriff's office,MT,NA,NA,1200000,1200000,1306000
dawson county sheriff's office,MT,NA,NA,7558324,8293962,1650000
garfield county sheriff's office,MT,NA,205000,350000,350000,363000
granite county sheriff's office,MT,450000,NA,812384,848398,NA
jefferson county sheriff's office,MT,NA,NA,3082813,3111658,2812000
lake county sheriff's office,MT,NA,NA,3470900,3705000,3229000
meagher county sheriff's office,MT,NA,NA,650000,7e+05,NA
musselshell county sheriff's office,MT,NA,789286,NA,NA,899000
valley county sheriff's office,MT,NA,NA,2e+06,2100000,917000
wibaux county sheriff's office,MT,NA,NA,NA,NA,NA
antelope county sheriff's office,NE,NA,NA,NA,NA,649000
boyd county sheriff's office,NE,NA,NA,269950,282000,NA
cedar county sheriff's office,NE,NA,NA,NA,NA,NA
cherry county sheriff's office,NE,NA,NA,NA,NA,286000
cheyenne county sheriff's office,NE,NA,NA,730417,736370,NA
douglas county sheriff's office,NE,14300000,15645831,16786749,17256514,18042000
franklin county sheriff's office,NE,NA,NA,477540,484250,NA
furnas county sheriff's office,NE,NA,NA,NA,NA,644000
garfield county sheriff's office,NE,NA,NA,175000,183186,156000
morrill county sheriff's office,NE,NA,NA,670000,680000,NA
otoe county sheriff's office,NE,NA,NA,2300000,2500000,NA
pierce county sheriff's office,NE,279000,NA,NA,NA,NA
polk county sheriff's office,NE,NA,NA,507058,574565,NA
saline county sheriff's office,NE,NA,6012494,2805884,2901697,NA
sarpy county sheriff's office,NE,1.8e+07,20916056,NA,NA,16793000
scotts bluff county sheriff's office,NE,NA,NA,2100000,2200000,3936000
stanton county sheriff's office,NE,NA,NA,450000,5e+05,NA
alamance county sheriff's office,NC,NA,21164008,25952428,25868165,25271000
anson county sheriff's office,NC,NA,NA,5e+06,5800000,512479
brunswick county sheriff's office,NC,10778600,24825525,NA,NA,33848000
buncombe county sheriff's office,NC,2.6e+07,35605518,NA,NA,52575000
cabarrus county sheriff's office,NC,NA,20432817,31749305,34901840,20349000
catawba county sheriff's office,NC,NA,16993354,20545047,21224508,16679000
chatham county sheriff's office,NC,8187010,NA,14529603,15107734,13562000
cherokee county sheriff's office,NC,NA,NA,5e+06,5500000,0
cleveland county sheriff's office,NC,NA,NA,8756593,9003284,25538000
cumberland county sheriff's office,NC,40151049,49064677,NA,NA,38866000
davidson county sheriff's office,NC,1.4e+07,NA,17778548,17989060,15144000
durham county sheriff's office,NC,4736347,33358538,3.9e+07,4e+07,28442000
edgecombe county sheriff's office,NC,NA,NA,NA,NA,6495259
forsyth county sheriff's office,NC,41816466,45585496,59469255,60601981,33692000
franklin county sheriff's office,NC,NA,NA,NA,NA,1559000
gates county sheriff's office,NC,NA,NA,NA,NA,1027355
guilford county sheriff's office,NC,5.7e+07,63614731,67929679,63856329,49270000
harnett county sheriff's office,NC,16561707,17866493,12016312,12425838,0
henderson county sheriff's office,NC,17885205,18452558,NA,NA,19509000
iredell county sheriff's office,NC,19938365,NA,NA,NA,36175000
jackson county sheriff's office,NC,5261486,NA,7650000,8e+06,6211046
johnston county sheriff's office,NC,NA,NA,NA,NA,21376000
lincoln county sheriff's office,NC,NA,NA,15665598,16465077,13612541
mcdowell county sheriff's office,NC,NA,NA,6522744,7459350,22713756
new hanover county sheriff's office,NC,3.8e+07,42628892,53598395,57939781,81589083
northampton county sheriff's office,NC,NA,NA,4293996,4828132,0
onslow county sheriff's office,NC,NA,NA,20252760,20347531,53029566
orange county sheriff's office,NC,NA,NA,12983803,12687182,171758
pitt county sheriff's office,NC,10713051,NA,158858357,158858357,52984556
randolph county sheriff's office,NC,1.5e+07,17329369,21359091,22564010,53196667
robeson county sheriff's office,NC,9114782,16262688,10021656,11455362,36012077
rockingham county sheriff's office,NC,NA,NA,NA,NA,24410073
rowan county sheriff's office,NC,3.2e+07,15853764,NA,NA,48704665
scotland county sheriff's office,NC,NA,NA,NA,NA,12001478
stanly county sheriff's office,NC,NA,NA,NA,NA,24073098
swain county sheriff's office,NC,NA,NA,2933788,2882876,0
union county sheriff's office,NC,2.2e+07,2.8e+07,34191115,32851979,70546972
wake county sheriff's office,NC,NA,NA,NA,NA,99900000
wayne county sheriff's office,NC,NA,14907254,NA,NA,41221937
wilkes county sheriff's office,NC,NA,NA,NA,NA,24722483
barnes county sheriff's office,ND,NA,NA,870000,910000,NA
billings county sheriff's office,ND,NA,NA,685152,681502,655000
burke county sheriff's office,ND,NA,NA,669141,791135,NA
burleigh county sheriff's office,ND,6338549,NA,15119126,15863217,6388000
cass county sheriff's office,ND,NA,NA,20420376,21520400,16899000
lamoure county sheriff's department,ND,NA,NA,546841,645394,449000
mchenry county sheriff's office,ND,NA,575975,NA,NA,NA
nelson county sheriff's office,ND,NA,NA,347420,378543,NA
renville county sheriff's office,ND,NA,463674,NA,NA,420000
richland county sheriff's office,ND,1317000,NA,3500000,4e+06,3431000
sioux county sheriff's office,ND,NA,NA,75000,90000,NA
towner county sheriff's office,ND,NA,NA,375000,390000,749000
traill county sheriff's office,ND,NA,NA,881070,972070,1351000
williams county sheriff's office,ND,NA,NA,NA,NA,7604000
cheshire county sheriff's office,NH,NA,NA,NA,NA,NA
merrimack county sheriff's office,NH,NA,NA,NA,NA,7518000
atlantic county sheriff's office,NJ,7917590,34207468,8700000,8500000,NA
bergen county sheriff's office,NJ,59895336,NA,80943518,84194691,NA
cape may county sheriff's office,NJ,NA,NA,2144195,2151355,NA
essex county sheriff's office,NJ,18034000,4.7e+07,NA,NA,NA
gloucester county sheriff's office,NJ,NA,NA,NA,NA,NA
hudson county sheriff's office,NJ,23689782,23083010,32971869,33373248,NA
mercer county sheriff's office,NJ,NA,15600000,NA,NA,NA
middlesex county sheriff's office,NJ,NA,NA,21241000,23205639,NA
passaic county sheriff's office,NJ,NA,71439861,73460296,71819198,NA
somerset county sheriff's office,NJ,NA,NA,7443724,7449158,NA
sussex county sheriff's office,NJ,NA,16155664,16294410,15817051,NA
bernalillo county sheriff's office,NM,33640891,4e+07,6e+07,6.5e+07,60748000
dona ana county sheriff's office,NM,NA,1.8e+07,20890554,20849373,NA
rio arriba county sheriff's office,NM,NA,NA,2038652,2038652,4001000
roosevelt county sheriff's office,NM,NA,NA,1591558,1628556,3528000
san juan county sheriff's office,NM,12771303,NA,12542800,12207980,9037000
san miguel county sheriff's office,NM,NA,NA,NA,NA,739000
sierra county sheriff's office,NM,1e+06,NA,NA,NA,NA
socorro county sheriff's office,NM,NA,1091953,NA,NA,1378813
taos county sheriff's office,NM,NA,NA,2100000,2395000,2813000
torrance county sheriff's office,NM,NA,NA,2e+06,2e+06,1692000
valencia county sheriff's office,NM,4115000,NA,6579002,6961714,NA
douglas county sheriff's office,NV,15225750,16140739,17401378,18511853,20322412
eureka county sheriff's office,NV,NA,NA,3003000,3340500,3151000
lander county sheriff's office,NV,NA,NA,4295640,6559100,4500000
nye county sheriff's office,NV,1.3e+07,NA,19839553,19103440,19987000
carson city county sheriff's office,NV,NA,NA,21685496,21997128,22380000
washoe county sheriff's office,NV,87051966,100735095,123677838,126489546,66480000
albany county sheriff's office,NY,18192848,67751130,25231520,24816321,20200150
cattaraugus county sheriff's office,NY,1.1e+07,"9,627,646",13736962,14328800,30491
chautauqua county sheriff's office,NY,7338579,25341132,20119688,20713733,8195633
chemung county sheriff's office,NY,5241497,"4,540,003",16198764,17260423,5308433
dutchess county sheriff's office,NY,1.4e+07,56151156,"15,696,725","15,844,156",14860254
erie county sheriff's office,NY,19905144,"26,153,038","29,670,597","30,928,450",32202915
genesee county sheriff's office,NY,4421347,"5,526,382",11245341,11670750,110564
greene county sheriff's office,NY,3600000,"3,155,075","3,991,974","4,034,377",4304445
livingston county sheriff's office,NY,15118150,"5,495,867","5,834,186","5,759,099",1331159
monroe county sheriff's office,NY,1.36e+08,140625629,153114852,156902555,58256190
niagara county sheriff's office,NY,3.2e+07,41098976,"13,338,746","12,910,926",443708
onondaga county sheriff's office,NY,35914597,87126711,"27,840,759","27,029,315",27981390
orange county sheriff's office,NY,12237767,"13,936,990","19,309,445","16,597,715",16651818
putnam county sheriff's office,NY,23805000,"12,992,509",17867102,17352948,14341214
rockland county sheriff's office,NY,22712590,63979505,72279705,73614455,27589482
saratoga county sheriff's office,NY,12035782,"13,858,703","16,719,353","15,226,112",246061
schuyler county sheriff's office,NY,1357543,"1,606,407",4771138,4737605,1747390
steuben county sheriff's office,NY,3121642,"3,747,804",11700000,12600000,5270382
suffolk county sheriff's office,NY,463389312,154334165,177441949,177078821,137600000
warren county sheriff's office,NY,1.3e+07,"8,790,771",24656064,24887054,9893801
ashtabula county sheriff's office,OH,NA,6200437,NA,NA,6014000
butler county sheriff's office,OH,29300000,NA,37292000,39527871,43018000
clark county sheriff's office,OH,12920198,1.5e+07,1.5e+07,1.5e+07,NA
cuyahoga county sheriff's office,OH,9.2e+07,1e+08,141025897,143200499,NA
darke county sheriff's office,OH,NA,NA,6524641,6947161,NA
delaware county sheriff's office,OH,NA,NA,26006725,27465928,33122000
fairfield county sheriff's office,OH,9e+06,10727232,13185687,14443891,17665000
fayette county sheriff's office,OH,NA,NA,NA,NA,NA
franklin county sheriff's office,OH,99128566,126672642,152210268,163129840,177062000
greene county sheriff's office,OH,12368146,NA,17936015,16480572,17752000
hamilton county sheriff's office,OH,57179699,NA,99891042,102873099,102360000
hocking county sheriff's office,OH,2255799,NA,3133224,3377885,7607000
jackson county sheriff's office,OH,1621394,6500000,2769381,2781482,4618000
knox county sheriff's office,OH,4300000,NA,NA,NA,2562000
lake county sheriff's office,OH,NA,NA,NA,NA,30146000
lawrence county sheriff's office,OH,NA,NA,NA,NA,NA
licking county sheriff's office,OH,16769067,NA,21844509,24936732,17069000
lucas county sheriff's office,OH,18344857,NA,36524970,35895441,19779000
mahoning county sheriff's office,OH,16855337,21689559,22568000,22938488,NA
montgomery county sheriff's office,OH,47767748,5.2e+07,59865655,63308622,60694000
pickaway county sheriff's office,OH,NA,NA,7446910,8010733,NA
stark county sheriff's office,OH,17957214,20739103,24900807,23533138,19161000
summit county sheriff's office,OH,38130375,41855120,4.36e+08,45500000,36494000
warren county sheriff's office,OH,NA,NA,18237005,18907100,NA
wyandot county sheriff's office,OH,NA,NA,3003032,3132532,3318526
beckham county sheriff's office,OK,NA,NA,2340569,2316366,NA
blaine county sheriff's office,OK,458617,NA,767000,767000,NA
canadian county sheriff's office,OK,NA,NA,5091694,5543863,9569000
carter county sheriff's office,OK,NA,NA,2300000,2400000,NA
dewey county sheriff's office,OK,NA,NA,928000,928000,NA
garfield county sheriff's office,OK,NA,3300000,1500000,1500000,NA
love county sheriff's office,OK,NA,NA,535244,564750,1357000
muskogee county sheriff's office,OK,NA,NA,NA,NA,NA
oklahoma county sheriff's office,OK,46300000,NA,NA,NA,11754000
osage county sheriff's office,OK,NA,NA,1139260,1125000,NA
payne county sheriff's office,OK,NA,NA,NA,NA,8347000
pottawatomie county sheriff's office,OK,NA,NA,NA,NA,2334000
sequoyah county sheriff's office,OK,NA,NA,2958300,3145000,NA
tillman county sheriff's office,OK,NA,NA,85800,89200,NA
tulsa county sheriff's office,OK,4.6e+07,49459348,NA,NA,122700000
clackamas county sheriff's office,OR,NA,NA,119752846,119065922,83685000
coos county sheriff's office,OR,NA,NA,12500000,13250000,5777000
curry county sheriff's office,OR,NA,NA,NA,NA,4093000
jefferson county sheriff's office,OR,NA,NA,3244581.69,3340211.04,3259000
klamath county sheriff's office,OR,NA,NA,NA,NA,4609000
linn county sheriff's office,OR,22366968,28714777,NA,NA,13353000
multnomah county sheriff's office,OR,NA,NA,159242318,164084413,50017000
washington county sheriff's office,OR,80543846,96731625,125052107,133086695,103933000
yamhill county sheriff's office,OR,NA,16345362,18390408,21073106,8424000
allegheny county sheriff's office,PA,14462312,18374829,NA,NA,37489716
blair county sheriff's office,PA,NA,NA,NA,NA,3979858
monroe county sheriff's office,PA,2964546,NA,NA,NA,4920425
montgomery county sheriff's office,PA,NA,NA,NA,NA,38195099
venango county sheriff's office,PA,NA,NA,NA,NA,6305480
abbeville county sheriff's office,SC,NA,NA,2e+06,2e+06,2699000
aiken county sheriff's office,SC,11287507,14071226,15917850,15431044,17544000
anderson county sheriff's office,SC,NA,2.4e+07,18204260,18612235,18370000
beaufort county sheriff's office,SC,NA,3e+07,33378832,31859249,36875000
berkeley county sheriff's office,SC,11270000,13194269,5443810,5360071,20863000
charleston county sheriff's office,SC,NA,68912261,78444983,77762241,60335000
cherokee county sheriff's office,SC,NA,NA,NA,NA,NA
dorchester county sheriff's office,SC,16853315,18979570,NA,NA,13950000
florence county sheriff's office,SC,NA,NA,18504502,18979919,16615000
georgetown county sheriff's office,SC,NA,1.2e+07,15168000,15650604,7939000
greenville county sheriff's office,SC,36120373,41057144,51784088,48847781,74211000
jasper county sheriff's office,SC,2300000,NA,4e+06,4073200,NA
lancaster county sheriff's office,SC,NA,12445000,12194820,13202635,15526000
lexington county sheriff's office,SC,NA,43215310,49287572,51561039,36034000
marion county sheriff's office,SC,NA,NA,4329003,4055425,NA
oconee county sheriff's office,SC,NA,NA,15156846,15731626,12239000
orangeburg county sheriff's office,SC,NA,6500000,7300000,7600000,11348000
pickens county sheriff's office,SC,NA,NA,9381391,10311027,14916000
richland county sheriff's department,SC,3.9e+07,35583325,39572960,39664060,58294000
spartanburg county sheriff's office,SC,20120250,24099450,26443202,28263627,41475000
sumter county sheriff's office,SC,8731542,NA,11061945,11666798,22994000
york county sheriff's office,SC,23777055,27581922,36759699,38657440,30805000
brookings county sheriff's office,SD,NA,NA,3175810,3427804,2181000
