AGENCYNAME,city,STATE,budget_2013,budget_2016,budget_2019,budget_2020,budget_2021,source_budget_2021
fremont police department,fremont,CA,NA,NA,1565514,1596824,101900000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
french settlement police department,french settlement,LA,9931121,NA,13480900,14153383,216793,https://app.lla.la.gov/publicreports.nsf/0/53809c89e3b005f78625887e00579add/$file/0002755c.pdf
fresno county sheriff's office,fresno,CA,20400811,19421814,20460402,22389144,276584177,https://counties.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_1/Police+Protection/0/entity_name
fresno police department,fresno,CA,NA,NA,10076565,11378423,207000000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
friendship town police department,friendship,NY,NA,NA,12624317,11372397,"110,564",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
frisco city police department,frisco,AL,NA,NA,NA,NA,,
frisco police department,frisco,TX,NA,NA,10999961,10705402,51300000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
frontenac police department,frontenac,MO,NA,NA,8500000,8900000,2422933,https://www.cityoffrontenac.org/egov/documents/1698953032_80256.pdf
fruita police department,fruita,CO,NA,NA,148068,150331,2268000,https://policescorecard.org/
fullerton police department,fullerton,CA,NA,NA,212655,216247,48784967,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
fulton county sheriff's office,lewistown,IL,NA,NA,NA,NA,3322000,https://policescorecard.org/
fulton police department,fulton,KY,NA,NA,NA,NA,,
furnas county sheriff's office,beaver,NE,10192582,11152234,12476641,12553016,644000,https://policescorecard.org/
gadsden police department,gadsden,AL,11730212,12000142,12215557,12517358,10945000,https://policescorecard.org/
gainesboro police department,gainesboro,TN,37090369,41254331,49973520,50527774,,
gainesville police department,gainesville,FL,NA,7164542,8249429,7941056,43048000,https://policescorecard.org/
gainesville police department,gainesville,GA,NA,NA,7900000,8100000,10063602,https://georgiadata.org/
gainesville police department,gainesville,TX,NA,NA,932990,933161,5117000,https://policescorecard.org/
gallatin county sheriff's office,shawneetown,IL,NA,NA,2881381,2977814,"137,674",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
gallatin county sheriff's office,warsaw,KY,4.5e+07,NA,60233075,61762945,455000,https://policescorecard.org/
galt police department,galt,CA,9e+06,NA,NA,NA,8586251,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
galva police department,galva,KS,8524520,NA,NA,NA,,
galveston county sheriff's office,galveston,TX,NA,NA,2900000,3200000,29506000,https://policescorecard.org/
galveston police department,galveston,TX,24028450,23202524,28661086,31006147,34205000,https://policescorecard.org/
ganado police department,ganado,TX,15503791,10474000,NA,NA,,
garden grove police department,garden grove,CA,NA,NA,8164285,8584374,67355927,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
gardiner police department,gardiner,ME,NA,NA,NA,NA,1254000,https://policescorecard.org/
garfield county sheriff's office,glenwood springs,CO,17047527,20037272,NA,NA,13434000,https://policescorecard.org/
garfield county sheriff's office,jordan,MT,NA,NA,NA,NA,363000,https://policescorecard.org/
garfield county sheriff's office,burwell,NE,14382569,14770076,17400021,15523252,156000,https://policescorecard.org/
garfield county sheriff's office,enid,OK,NA,NA,3457676,3325124,,
garfield county sheriff's office,panguitch,UT,13623218,15870231,20270701,19269085,4532000,https://policescorecard.org/
garland police department,garland,TX,NA,NA,NA,NA,62300000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
garnavillo police department,garnavillo,IA,NA,1624167,2015000,2102712,,
garrard county police department,lancaster,KY,NA,15158031,16936644,17386626,,
garrettsville police department,garrettsville,OH,NA,NA,4500000,4500000,,
gary police department,gary,IN,NA,NA,4615905,4950926,,
gaston county police department,gastonia,NC,NA,NA,5336655,5741474,"87,116,000",https://logos.nctreasurer.com/Reporting/Report/External?applicationCode=AFIR
gastonia police department,gastonia,NC,NA,NA,8410044,8684429,19402000,https://policescorecard.org/
gates county sheriff's office,gatesville,NC,2.2e+07,2.7e+07,NA,NA,"1,027,355",https://gatescountync.gov/vertical/sites/%7BC4993D33-7F3A-4388-B179-2EC1739C7E2E%7D/uploads/Gates_COunty_Annual_Financial_Report_Year_Ended_June_30_2021.pdf
gatlinburg police department,gatlinburg,TN,NA,NA,NA,NA,3044000,https://policescorecard.org/
gaylord police department,gaylord,MI,1.8e+07,23500000,28646214,27507631,1750000,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
geistown borough police department,johnstown,PA,1818607,NA,2286049,2435904,256172,https://dced.pa.gov/local-government/municipal-statistics/
genesee county sheriff's office,flint,MI,NA,NA,6e+06,6e+06,3371000,https://policescorecard.org/
genesee county sheriff's office,batavia,NY,8724512,9874000,11200000,12700000,"110,564",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
geneva county sheriff's office,geneva,AL,NA,NA,3758553,4028423,,
geneva police department,geneva,OH,278780806,537938317,NA,NA,,
genoa city police department,genoa,WI,NA,1.1e+07,1.2e+07,1.2e+07,,
gentry county sheriff's office,albany,MO,NA,NA,NA,NA,,
georgetown county sheriff's office,georgetown,SC,NA,NA,3695264,3730768,7939000,https://policescorecard.org/
georgetown police department,georgetown,KY,NA,NA,2100000,2200000,4104000,https://policescorecard.org/
german township police department,springfield,OH,NA,580000,540000,520000,,
germantown police department,germantown,TN,NA,985987,1197074,1197087,14531000,https://policescorecard.org/
geronimo police department,geronimo,OK,2146132,NA,2968588,3235235,,
gilbert police department,gilbert,AZ,NA,NA,NA,NA,61700000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
gilbert police department,gilbert,MN,NA,NA,3474505,4261982,,
gilberts police department,gilberts,IL,NA,NA,2097479,2150494,"1,683,322",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
giles county sheriff's office,pulaski,TN,NA,NA,NA,NA,,
gillett police department,gillett,AR,1.6e+07,17106460,20420773,19972307,7668993,https://www.gillettewy.gov/city-government/departments/finance-department/finance-division
gilmer county sheriff's office,glenville,WV,NA,NA,1100000,1250000,141000,https://policescorecard.org/
gladstone police department,gladstone,OR,NA,NA,5e+05,525759,"6,204,405",https://www.ci.gladstone.or.us/media/16351
gladwin county sheriff's office,gladwin,MI,NA,NA,1646000,1701000,1670000,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
glascock county sheriff's department,gibson,GA,NA,NA,1786931,1960102,,
gleason police department,gleason,TN,27840201,23808585,33555209,32052836,,
glendale heights police department,glendale heights,IL,NA,NA,497304,592264,8702000,https://policescorecard.org/
glendale police department,glendale,AZ,NA,NA,1400000,1400000,103300000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
glendale police department,glendale,CA,NA,NA,1179650,1098364,92802314,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
glendora police department,glendora,MS,NA,NA,NA,NA,,
glenmora police department,glenmora,LA,NA,NA,1200000,1250000,397552,https://app.lla.state.la.us/PublicReports.nsf/0/99B93D154A0C292486258A89007DA856/$FILE/0000373B.pdf
glennville police department,glennville,GA,NA,NA,12573864,12989970,932404,https://georgiadata.org/
glenolden borough police department,glenolden borough,PA,NA,NA,21800000,22900000,1723301,https://dced.pa.gov/local-government/municipal-statistics/
glenwood police department,glenwood,MN,4.1e+08,444183791,536376477,549959519,,
gloucester county sheriff's office,woodbury,NJ,NA,NA,NA,NA,,
gloucester township police,blackwood,NJ,13662981,NA,1.6e+07,17500000,,
glynn county police department,brunswick,GA,NA,NA,508066,540405,14742445,https://georgiadata.org/
gold beach police department,gold beach,OR,NA,NA,522745,529728,"755,200",https://www.goldbeachoregon.gov/vertical/sites/%7B95824C9A-6BB0-47B3-83E2-3D2AE3179E09%7D/uploads/FY2021_2022_ADOPTED_Budget.pdf
goodland police department,goodland,KS,NA,715000,822036,838813,421000,https://policescorecard.org/
goodyear police department,goodyear,AZ,NA,NA,5400000,5500000,24628000,https://policescorecard.org/
goose creek police department,goose creek,SC,903662,NA,1165305,1254451,8244000,https://policescorecard.org/
gordon county sheriff's office,north calhoun,GA,NA,NA,NA,NA,7233000,https://georgiadata.org/
goreville police department,goreville,IL,NA,NA,762532,796434,"154,471",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
goshen police department,goshen,IN,NA,248000,320817,318027,8912000,https://policescorecard.org/
goshen town police department,goshen,NY,1994000,NA,2142631,2177458,"1,302,173",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
gothenburg police department,gothenburg,NE,NA,NA,NA,NA,,
grady county sheriff's department,cairo,GA,NA,NA,NA,NA,2151100,https://georgiadata.org/
grafton police department,grafton,ND,NA,421400,485787,511104,1086000,https://policescorecard.org/
grafton police department,grafton,WV,NA,NA,1126570,1239838,,
graham police department,graham,TX,NA,359893,NA,NA,"1,994,513",https://www.cityofgrahamtexas.com/wp-content/uploads/2021/09/2020-2021_Annual_Budget.pdf
grambling police department,grambling,LA,NA,NA,NA,NA,1398018,https://app.lla.la.gov/publicreports.nsf/0/a897b8c61374a3d88625893b006c80f0/$file/0000082a.pdf
grand blanc township police department,flint,MI,NA,NA,NA,NA,7721000,https://policescorecard.org/
grand junction police department,grand junction,CO,NA,NA,NA,NA,32919000,https://policescorecard.org/
grand prairie police department,grand prairie,TX,NA,NA,NA,NA,64151000,https://policescorecard.org/
grand rapids police department,grand rapids,MI,NA,NA,359000,359000,54908000,https://policescorecard.org/
grand saline police department,grand saline,TX,NA,2864681,2328280,2341806,,
grandview police department,grandview,TX,NA,NA,1698814,1947125,,
grandview police department,grandview,WA,NA,NA,950000,985000,,
granger police department,granger,IA,NA,NA,NA,NA,,
granite county sheriff's office,philipsburg,MT,NA,NA,1169899,1246965,,
grant county sheriff's office,milbank,SD,NA,762110,840000,850000,569000,https://policescorecard.org/
grant parish sheriff's office,colfax,LA,NA,NA,89508,92000,8003670,https://app.lla.la.gov/publicreports.nsf/0/40049143aca1a4418625893c006c2dd8/$file/0000084e.pdf
granville police department,granville,OH,NA,NA,225000,240000,,
granville township police department,lewistown,PA,NA,NA,NA,NA,1082040,https://dced.pa.gov/local-government/municipal-statistics/
gray county sheriff's department,cimarron,KS,NA,NA,881150,890440,1110000,https://policescorecard.org/
grayling police department,grayling,MI,NA,NA,345852,362111,735000,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
grayson police department,grayson,KY,NA,NA,821000,889000,,
greece town police department,rochester,NY,NA,NA,2200000,2200000,"12,576,889",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
greeley county sheriff's office,tribune,KS,3800000,NA,4100000,4300000,,
greeley police department,greeley,CO,NA,NA,NA,NA,27776000,https://policescorecard.org/
green bay police department,green bay,WI,NA,NA,510000,520000,,
green cove springs police department,green cove springs,FL,NA,NA,1.8e+07,19300000,3125000,https://policescorecard.org/
green mountain falls marshal's office,green mountain falls,CO,NA,NA,7474329,775427,,
green township police department,cincinnati,OH,NA,NA,540663,657574,,
greenburgh town police department,white plains,NY,NA,NA,1161660,1136152,"22,053,839",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
greencastle borough police department,greencastle borough,PA,NA,NA,NA,NA,766245,https://dced.pa.gov/local-government/municipal-statistics/
greendale police department,greendale,IN,21758778,1.1e+07,23380801,31112009,1303000,https://policescorecard.org/
greene county sheriff's office,jefferson,IA,NA,NA,6e+05,6e+05,1771000,https://policescorecard.org/
greene county sheriff's office,springfield,MO,NA,NA,5826500,5868400,7174000,https://policescorecard.org/
greene county sheriff's office,catskill,NY,NA,NA,7527371,7770328,"4,304,445",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
greene county sheriff's office,xenia,OH,NA,8e+05,707000,650000,17752000,https://policescorecard.org/
greene county sheriff's office,stanardsville,VA,NA,NA,150000,160000,2882000,https://policescorecard.org/
greenfield police department,greenfield,CA,NA,NA,390000,4e+05,6450790,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
greenfield police department,greenfield,MO,NA,108270,110000,110000,,
